ID_Number,Name,Manufacturer,Cartridge,Country,Introduced,Type,Unspecified
137,Spectre M4,Società Italiana Tecnologie Speciali S.p.A.,.45 ACP9×19mm Parabellum.40 S&W,Italy,1980,SMG,Unspecified
138,Socimi Type 821,Societa Costruzioni Industriali MilanoLuigi Franchi S.p.A.,9×19mm Parabellum,Italy,1983,SMG,Unspecified
139,Sola submachine gun,Societe Luxembourgeoise SA,9×19mm Parabellum,Luxembourg,1952,SMG,Unspecified
140,SR-2 Veresk,TsNIITochMash,9×21mm Gyurza,Russia,1999,SMG,Unspecified
141,Standschütze Hellriegel M1915,A few prototypes made by members of the Austro-Hungarian military,9×23mm Steyr,Austrian Empire Kingdom of Hungary,1915,Other,Unspecified
142,Stechkin automatic pistol,Tula Arms Plant,9×18mm Makarov,Soviet Union,1948,MP,Unspecified
143,Sten,Royal Small Arms FactoryBSA and others,9×19mm Parabellum,United Kingdom,1940,SMG,Unspecified
144,Sterling submachine gun,Sterling Armaments CompanyRoyal Ordnance Factories,9×19mm Parabellum,United Kingdom,1945,SMG,Unspecified
145,Steyr AUG PARA,"Steyr Mannlicher Thales Australia, Lithgow FacilitySME Ordnance",9×19mm Parabellum,Austria,1988,SMG,Unspecified
146,Steyr MPi 69,Steyr Mannlicher,9×19mm Parabellum,Austria,1960s,SMG,Unspecified
147,Suomi KP/-31,Tikkakoski (company),9×19mm Parabellum,Finland,1931,SMG,Unspecified
148,Thompson submachine gun,Auto-Ordnance Company,.45 ACP,United States,1921,SMG,Unspecified
149,Tokarev Model 1927,Unspecified,7.62×38mmR Nagant,Soviet Union,1927,SMG,Unspecified
150,TSM-9-A1,Truvelo Armoury,9×19mm Parabellum,South Africa,2020,SMG,Unspecified
151,Type 64 submachine gun,China North Industries Corporation,7.62×25mm Type 51,China,1964,SMG,Unspecified
152,Type 77 submachine gun,Hsing Hua Arsenal,9×19mm Parabellum,Republic of China,1985,SMG,Unspecified
153,Type 79 submachine gun,China North Industries Corporation,7.62×25mm Tokarev,China,1970,SMG,Unspecified
154,Type 80 (pistol),Norinco,7.62×25mm Tokarev,China,1980,SMG,Unspecified
155,Type 85 submachine gun,Unspecified,7.62×25mm Tokarev,China,1980s,SMG,Unspecified
156,Type 100 submachine gun,Unspecified,8×22mm Nambu,Japan,1939,SMG,Unspecified
157,TZ-45,Fabbrica Fratelli Giandoso,9×19mm Parabellum,Italian Social Republic,1945,SMG,Unspecified
158,United Defense M42,United Defense Supply Corp,9×19mm Parabellum.45 ACP,United States,1942,SMG,Unspecified
159,Uzi,"Israel Military Industries, Israel Weapon Industries, FN Herstal, Norinco, Lyttleton Engineering Works, (under Vektor Arms), RH-ALAN, Group Industries",9×19mm Parabellum,Israel,1950,SMG,Unspecified
160,Vigneron submachine gun,Unspecified,9×19mm Parabellum,Belgium,1952,SMG,Unspecified
161,Villar Perosa aircraft submachine gun,Officine di Villar Perosa,9mm Glisenti,Italy,1915,Other,Unspecified
162,Vityaz-SN,Kalashnikov Concern,9×19mm Parabellum,Russia,2008,SMG,Unspecified
163,Walther MP,Walther arms,9×19mm Parabellum.380 ACP,West Germany,1963,SMG,Unspecified
164,WG66,Unspecified,7.62×25mm Tokarev,East Germany,1966,SMG,Unspecified
165,Z-45,"Star Bonifacio Echeverria, S.A.",9x19mm Parabellum9×23mm Largo.38 Super.45 ACP,Spain,1945,SMG,Unspecified
166,Z84,"Star Bonifacio Echeverria, S.A.",9x19mm Parabellum,Spain,1984,SMG,Unspecified
167,Zagi M-91,Unspecified,9×19mm Parabellum,Yugoslavia Croatia,1991,SMG,Unspecified
168,ZB-47,Zbrojovka Brno,9×19mm Parabellum,Czechoslovakia,1947,SMG,Unspecified
169,ZK-383,Unspecified,9×19mm Parabellum,Czechoslovakia,1930,SMG,Unspecified
